CustomerKey,Full Name,Gender,DateFirstPurchase,Customer City
14195,Clinton Blanco,Male,22-04-2018,London
14427,Emmanuel Patel,Male,06-04-2018,London
14540,Randy Lin,Male,09-03-2020,London
14697,Nelson Jimenez,Male,29-05-2018,London
14712,Eugene Liu,Male,20-05-2018,London
14776,Ronald Arthur,Male,22-06-2018,London
14793,Clayton Nath,Male,08-06-2018,London
14806,Damien Jai,Male,22-04-2020,London
14820,Drew Bhat,Male,14-02-2020,London
14928,Roy Patel,Male,30-07-2018,London
14934,Jermaine Sai,Male,10-11-2020,London
14968,Troy Patel,Male,30-07-2020,London
14974,K. Saravan,Male,31-03-2020,London
15119,Johnny Tang,Male,25-05-2020,London
15653,Gerald Madan,Male,09-11-2018,London
15686,Pedro Vazquez,Male,26-02-2020,London
16187,Louis Hu,Male,08-08-2020,London
16190,Lance Alvarez,Male,18-03-2020,London
16201,Ross Martin,Male,18-01-2019,London
16294,Steve Hu,Male,05-07-2020,London
16311,Carl Beck,Male,31-01-2019,London
16437,Jésus Gutierrez,Male,20-03-2020,London
16546,Terrance Jordan,Male,08-04-2019,London
16573,Ruben Dominguez,Male,21-04-2019,London
16588,Andre Martinez,Male,30-04-2019,London
16599,Ramón Cai,Male,18-06-2020,London
17087,Jésus Dominguez,Male,20-07-2020,London
17094,Julio Dominguez,Male,22-06-2019,London
17101,Shannon Gutierrez,Male,19-03-2020,London
17214,Damien Liu,Male,06-06-2019,London
17626,Alfredo Blanco,Male,28-06-2019,London
17628,Roberto Munoz,Male,07-02-2020,London
17642,Gregory Luo,Male,30-03-2020,London
17645,Albert Alonso,Male,01-10-2020,London
17743,Gerald Gomez,Male,03-07-2019,London
17772,Leonard Andersen,Male,12-07-2019,London
17794,Theodore Rowe,Male,23-08-2019,London
17821,Marvin Gill,Male,18-04-2020,London
17835,Francisco Perez,Male,25-08-2020,London
17841,Walter Navarro,Male,26-08-2019,London
17849,Wesley He,Male,10-08-2019,London
17887,Joel Madan,Male,20-09-2020,London
17958,Ricardo Lal,Male,24-09-2019,London
17962,Colin Zhou,Male,14-09-2019,London
18127,Franklin He,Male,03-11-2019,London
18136,Carl Xie,Male,16-11-2019,London
18173,Brent Zhang,Male,03-11-2019,London
18177,Reginald Suarez,Male,04-11-2019,London
18181,Neil Diaz,Male,26-05-2020,London
18625,Derrick Moreno,Male,13-11-2019,London
19044,Cesar Rana,Male,10-11-2020,London
19048,Bryant Raman,Male,09-12-2019,London
19059,George Rodriguez,Male,14-01-2021,London
19070,Kristopher Garcia,Male,15-12-2019,London
19071,Joe Jimenez,Male,03-05-2020,London
19082,Alvin Zhang,Male,04-07-2020,London
19172,Calvin Luo,Male,02-01-2019,London
19186,Bob Garcia,Male,21-01-2019,London
19258,Douglas Mehta,Male,22-02-2019,London
19279,Omar Xu,Male,04-09-2020,London
19322,Gerald Romero,Male,11-05-2019,London
19347,Alvin Zhao,Male,11-01-2021,London
19362,Karl Raje,Male,08-06-2019,London
19477,Lance Rubio,Male,30-09-2019,London
19497,Raul She,Male,17-08-2020,London
19499,Shawn Black,Male,09-11-2019,London
19513,Jessie Liang,Male,17-08-2020,London
19941,Cedric Liang,Male,12-01-2018,London
20054,Clarence Nara,Male,13-03-2018,London
20133,Jorge Li,Male,04-07-2020,London
20167,Joe Serrano,Male,07-05-2018,London
20173,Dennis Zhao,Male,20-06-2018,London
20570,George Martinez,Male,17-04-2020,London
20576,Johnathan Kapoor,Male,01-01-2019,London
20592,Jorge Liu,Male,24-01-2019,London
20712,Colin Huang,Male,17-02-2019,London
20859,Roy Romero,Male,02-05-2019,London
20862,Marshall Sutton,Male,16-05-2019,London
20892,Henry Sara,Male,01-07-2019,London
20922,Clayton Wagner,Male,02-08-2019,London
20951,Darrell Jai,Male,11-08-2020,London
21026,Clifford Fernandez,Male,04-05-2020,London
21046,Terrance Suri,Male,16-08-2020,London
21110,Brent Zeng,Male,14-02-2020,London
21111,Ricardo Deng,Male,08-02-2020,London
21134,Bob Chapman,Male,10-05-2020,London
21516,Larry Serrano,Male,18-12-2019,London
21517,Gerald Subram,Male,12-12-2019,London
21534,Warren Rai,Male,28-11-2019,London
21540,Ross Rubio,Male,04-12-2019,London
21824,Warren She,Male,10-12-2020,London
21847,Dominic Madan,Male,24-07-2020,London
21848,Jerry Raje,Male,15-06-2020,London
21857,Jay Dominguez,Male,24-01-2020,London
21858,Curtis Lin,Male,20-01-2020,London
22434,Billy Schmidt,Male,18-10-2020,London
22460,Julio Torres,Male,11-10-2020,London
22468,Ruben Gonzalez,Male,16-11-2020,London
22520,Rodney Torres,Male,14-10-2020,London
22596,Omar Xu,Male,01-11-2020,London
22599,Philip Gill,Male,11-11-2020,London
22614,Tommy Shan,Male,18-01-2020,London
22622,Neil Sanz,Male,27-08-2020,London
22686,Wayne Anand,Male,11-03-2020,London
22687,Javier Jiménez,Male,29-12-2019,London
22695,Darren Martin,Male,10-03-2020,London
22813,Jerry Deng,Male,27-10-2020,London
22837,Sergio Chandra,Male,12-09-2020,London
22869,Rafael Lu,Male,19-09-2020,London
23232,Frank Serrano,Male,06-04-2020,London
23235,Cedric Pal,Male,04-02-2020,London
23607,Wayne She,Male,14-01-2020,London
23625,Micheal Navarro,Male,17-10-2020,London
23629,Alfredo Gill,Male,07-02-2020,London
23907,Hector Navarro,Male,05-05-2020,London
23954,Jonathon Serrano,Male,08-04-2020,London
24034,Pedro Ruiz,Male,17-06-2020,London
24044,Arturo Kumar,Male,21-07-2020,London
24054,Gerald Hernandez,Male,23-07-2020,London
24064,Stanley Fernandez,Male,18-02-2020,London
24071,Victor Suarez,Male,21-05-2020,London
24144,Gerald Sanchez,Male,14-10-2020,London
24193,Louis Becker,Male,20-09-2020,London
24550,Randy Ma,Male,04-02-2020,London
24573,Colin Rai,Male,20-05-2020,London
24697,Manuel Rodriguez,Male,08-10-2020,London
24859,Cesar Arun,Male,25-01-2021,London
24868,Darryl Hu,Male,17-07-2020,London
24869,Misty Shock,Male,23-09-2020,London
25141,Walter Gutierrez,Male,10-05-2020,London
25312,Erik Ramos,Male,09-11-2020,London
25505,Curtis Zhou,Male,15-09-2020,London
25510,Grant Kumar,Male,16-11-2020,London
25604,Martin Vance,Male,17-12-2020,London
25632,Lee Moreno,Male,06-03-2020,London
25642,Jon Rai,Male,24-02-2020,London
25646,Randall Torres,Male,17-02-2020,London
25701,Francisco Garcia,Male,11-02-2020,London
25728,Nelson Romero,Male,08-03-2020,London
25739,Cory Rodriguez,Male,19-03-2020,London
25747,Marshall Xu,Male,14-03-2020,London
25755,Jeffery Huang,Male,29-08-2020,London
25757,Jeffery Wu,Male,06-04-2020,London
25774,Corey Pal,Male,04-09-2020,London
25781,Alejandro Xie,Male,26-07-2020,London
25782,Marshall Gao,Male,28-05-2020,London
25783,Omar Sun,Male,27-02-2020,London
25796,Kelvin Jai,Male,06-10-2020,London
26206,Kurt She,Male,23-12-2020,London
26390,Ivan Mehta,Male,04-08-2020,London
26837,Albert Martin,Male,13-05-2020,London
26849,Billy Martin,Male,04-05-2020,London
26863,Alvin Chen,Male,05-01-2021,London
26901,Louis Nara,Male,21-11-2020,London
26906,Darrell Rai,Male,10-10-2020,London
26938,Maurice Shen,Male,06-06-2020,London
26993,Julio Gill,Male,05-12-2020,London
27175,Marshall Raji,Male,16-11-2020,London
27781,Allen Sai,Male,27-08-2020,London
27828,Ernest Gao,Male,23-03-2020,London
27841,Gerald Vance,Male,19-03-2020,London
27852,Jamie Ramos,Male,11-09-2020,London
27885,Marvin Torres,Male,28-09-2020,London
27938,Ricky Serrano,Male,12-07-2020,London
27940,Ross Suarez,Male,11-05-2020,London
28370,Eddie Gutierrez,Male,07-10-2020,London
28386,Sergio Subram,Male,03-11-2020,London
28399,Dale Deng,Male,29-10-2020,London
28411,Jay Rodriguez,Male,25-02-2020,London
28426,Melvin Xie,Male,11-10-2020,London
28436,Derrick Carlson,Male,31-10-2020,London
28477,Kenneth Tang,Male,04-12-2020,London
28515,Tony Lal,Male,19-12-2020,London
28516,Vincent Lin,Male,01-12-2020,London
28704,Roy Ruiz,Male,29-08-2020,London
28877,Joe Vance,Male,28-02-2020,London
28899,Alejandro Anand,Male,25-12-2020,London
28921,Corey Deng,Male,22-03-2020,London
29359,Harold Fernandez,Male,13-11-2020,London
29477,Neil Ruiz,Male,18-06-2020,London
11336,Shaun Raji,Male,27-09-2019,Paris
11339,Dennis She,Male,07-10-2019,Paris
11410,Maurice Goel,Male,13-11-2019,Paris
11483,Calvin Chande,Male,22-12-2019,Paris
11545,Reginald Dominguez,Male,13-07-2020,Paris
11592,Darrell Raji,Male,11-01-2018,Paris
11607,Clinton Moreno,Male,19-01-2018,Paris
12274,Javier Torres,Male,07-10-2020,Paris
12279,Mathew Suarez,Male,13-05-2018,Paris
12312,Jake Zhao,Male,28-10-2020,Paris
12313,Jaime Chande,Male,15-01-2021,Paris
12332,Andres Nara,Male,13-06-2018,Paris
12383,Albert Gomez,Male,31-05-2018,Paris
12468,Wayne Nath,Male,12-07-2018,Paris
12511,Grant Chander,Male,28-06-2020,Paris
12523,Steve Wagner,Male,28-08-2018,Paris
12537,Terrence Luo,Male,24-06-2020,Paris
12542,Preston Patel,Male,11-01-2021,Paris
12621,Barry Martinez,Male,25-09-2018,Paris
12631,Clarence Gao,Male,25-10-2018,Paris
12641,Willie Raje,Male,02-12-2020,Paris
12649,Omar Goel,Male,29-09-2020,Paris
12659,Damien Chande,Male,16-04-2020,Paris
12662,Jessie Huang,Male,12-12-2020,Paris
12817,Theodore Suarez,Male,24-11-2018,Paris
12824,Kristopher Subram,Male,10-12-2020,Paris
12842,Kelvin Becker,Male,25-09-2020,Paris
13549,Richard King,Male,01-05-2020,Paris
13568,Max Jimenez,Male,18-02-2020,Paris
13577,Theodore Torres,Male,21-01-2019,Paris
13610,Omar Sharma,Male,21-03-2020,Paris
13674,Drew Shen,Male,05-05-2020,Paris
13681,Adam Hall,Male,01-10-2020,Paris
13766,Joe Gill,Male,14-01-2019,Paris
13779,Manuel Garcia,Male,02-01-2019,Paris
14145,Jessie Ye,Male,06-02-2020,Paris
14788,Gerald Rana,Male,03-03-2020,Paris
14796,Michael Miller,Male,24-04-2019,Paris
14810,Russell Anand,Male,04-06-2020,Paris
14931,Andres Pal,Male,28-05-2019,Paris
14932,Pedro Fernandez,Male,12-08-2020,Paris
14946,Frederick Vance,Male,12-06-2019,Paris
14948,Damien Lal,Male,14-06-2019,Paris
15064,Erik Rubio,Male,10-06-2019,Paris
15070,Alfredo Navarro,Male,01-06-2019,Paris
15093,Johnny Moyer,Male,19-07-2019,Paris
15654,Levi Fernandez,Male,10-06-2020,Paris
15688,Chase Gray,Male,08-09-2019,Paris
15700,Eugene Guo,Male,27-09-2019,Paris
16040,Casey Gill,Male,03-03-2020,Paris
16052,Danny Gutierrez,Male,04-09-2019,Paris
16202,Kenneth Jai,Male,09-10-2020,Paris
16281,Gilbert Luo,Male,27-06-2020,Paris
16283,Clayton Raji,Male,03-10-2020,Paris
16286,Billy Torres,Male,28-09-2019,Paris
16315,Garrett Richardson,Male,22-10-2020,Paris
16388,Jay Torres,Male,28-09-2019,Paris
16404,Raul Nara,Male,13-10-2019,Paris
16408,Arthur Madan,Male,13-10-2019,Paris
16430,Franklin Rai,Male,19-11-2019,Paris
16431,Jermaine Rodriguez,Male,01-11-2019,Paris
16433,Mathew Dominguez,Male,05-11-2019,Paris
16440,Jimmy Martin,Male,26-02-2020,Paris
16468,Orlando Dominguez,Male,08-09-2020,Paris
16476,Shawn Xie,Male,04-12-2019,Paris
16510,Brad Nara,Male,08-04-2020,Paris
16535,Colin Chen,Male,03-06-2020,Paris
16557,Derek Chander,Male,26-03-2020,Paris
17088,Wayne Yuan,Male,20-07-2020,Paris
17196,Douglas Fernandez,Male,28-04-2019,Paris
17633,Gary Dominguez,Male,15-05-2019,Paris
17638,Clarence Zheng,Male,07-12-2020,Paris
17643,Wesley Cai,Male,07-11-2020,Paris
17716,Cesar Gonzalez,Male,06-07-2019,Paris
17759,Kristopher Sanchez,Male,11-06-2020,Paris
17766,Jake Xu,Male,07-08-2019,Paris
17787,Alejandro Zhao,Male,01-11-2019,Paris
17885,Julio Carlson,Male,13-12-2019,Paris
17973,Johnathan Rodriguez,Male,21-03-2018,Paris
17988,Alfredo Diaz,Male,23-10-2020,Paris
18011,Frank Gomez,Male,04-08-2018,Paris
18138,Walter Alonso,Male,06-12-2020,Paris
18143,Chad Shen,Male,05-10-2018,Paris
18184,Leonard Chande,Male,16-10-2020,Paris
18618,Mitchell Rai,Male,21-01-2021,Paris
19033,Omar Lin,Male,10-12-2018,Paris
19075,Brent Wu,Male,27-04-2020,Paris
19183,Edwin Raje,Male,07-09-2020,Paris
19194,Cesar Garcia,Male,18-03-2019,Paris
19280,Darrell Andersen,Male,10-05-2019,Paris
19287,Shane Chandra,Male,26-05-2019,Paris
19292,Micah Lin,Male,17-05-2019,Paris
19296,Jake Zheng,Male,14-06-2019,Paris
19336,Ricardo Andersen,Male,27-08-2019,Paris
19367,Johnathan Gonzalez,Male,22-12-2020,Paris
19427,Troy Lopez,Male,28-09-2019,Paris
19436,Gregory Pal,Male,17-10-2019,Paris
19464,Tyrone Alonso,Male,17-10-2020,Paris
19473,Roger Chande,Male,01-11-2019,Paris
19484,Willie Liang,Male,17-11-2020,Paris
19485,Raul Shan,Male,09-12-2020,Paris
19494,Sergio Martinez,Male,14-10-2020,Paris
19495,Francis Gill,Male,22-06-2020,Paris
19507,Raul Shen,Male,12-07-2020,Paris
19508,Troy Rana,Male,07-09-2020,Paris
19923,Joe Prasad,Male,30-04-2020,Paris
19932,Javier Sanz,Male,14-01-2021,Paris
19943,Walter Carlson,Male,25-12-2019,Paris
20568,Dustin Raji,Male,28-05-2020,Paris
20578,Martin Kapoor,Male,20-12-2020,Paris
20580,Ernest Huang,Male,13-03-2020,Paris
20895,Ruben Jimenez,Male,01-12-2020,Paris
20960,Darrell Beck,Male,18-05-2020,Paris
20974,George Subram,Male,02-07-2020,Paris
21021,Gary Serrano,Male,05-02-2020,Paris
21038,Pedro Lopez,Male,03-12-2020,Paris
21041,Eddie Serrano,Male,04-02-2020,Paris
21050,Alan Cai,Male,14-02-2020,Paris
21081,Xavier Smith,Male,30-11-2020,Paris
21088,Alvin Anand,Male,05-04-2020,Paris
21095,Lance Munoz,Male,26-04-2020,Paris
21112,Johnathan Prasad,Male,31-05-2020,Paris
21132,Jeffery Hu,Male,05-06-2020,Paris
21505,Ronald Gonzalez,Male,30-11-2020,Paris
21518,Ruben Madan,Male,20-07-2020,Paris
21673,Jésus Gill,Male,28-04-2020,Paris
21850,Bruce Subram,Male,23-09-2020,Paris
22306,Ivan Kapoor,Male,05-05-2020,Paris
22319,Jorge Zhou,Male,25-05-2020,Paris
22395,Jermaine Patel,Male,31-05-2020,Paris
22417,Shaun Goel,Male,16-09-2020,Paris
22423,Byron Hernandez,Male,12-06-2020,Paris
22466,Raul Tang,Male,30-06-2020,Paris
22483,Lee Ramos,Male,04-12-2020,Paris
22500,Brent Zhao,Male,15-05-2020,Paris
22501,Colin Ye,Male,19-06-2020,Paris
22567,Glenn Zhu,Male,09-06-2020,Paris
23909,Todd Lin,Male,12-11-2020,Paris
23920,Arthur Ruiz,Male,19-04-2020,Paris
23973,Zachary Long,Male,25-11-2020,Paris
24013,Jay Ruiz,Male,13-05-2020,Paris
24022,Dale Beck,Male,15-11-2020,Paris
24032,Micah Ma,Male,22-12-2020,Paris
24043,Charles Kelly,Male,03-12-2020,Paris
24061,Kelvin Luo,Male,05-01-2020,Paris
24063,Micheal Suarez,Male,29-01-2020,Paris
24076,Casey Hernandez,Male,08-10-2020,Paris
24109,Eddie Suarez,Male,13-04-2020,Paris
24116,Pedro Martinez,Male,13-06-2020,Paris
24134,Edgar Kapoor,Male,17-12-2020,Paris
24140,Alvin Lin,Male,28-04-2020,Paris
24203,Keith Xie,Male,14-08-2020,Paris
24542,Arturo Liang,Male,03-12-2020,Paris
24701,Marco Fernandez,Male,19-08-2020,Paris
24724,Alfredo Gutierrez,Male,29-09-2020,Paris
24866,Alejandro Nath,Male,09-03-2020,Paris
25320,Shannon Hernandez,Male,21-11-2020,Paris
25321,Francis Suarez,Male,18-10-2020,Paris
25483,Dennis Ma,Male,12-01-2021,Paris
25490,Alvin He,Male,22-07-2020,Paris
25503,Richard Hill,Male,07-07-2020,Paris
25518,Oscar Lu,Male,27-08-2020,Paris
25600,Derek Anand,Male,28-08-2020,Paris
25613,Erik Ruiz,Male,23-08-2020,Paris
25639,Russell Lal,Male,17-10-2020,Paris
25643,Sergio Arun,Male,29-05-2020,Paris
25662,Andre Kapoor,Male,15-09-2020,Paris
26357,Sergio Gonzalez,Male,28-04-2020,Paris
26367,Omar Shan,Male,23-06-2020,Paris
26383,Ronnie Hu,Male,04-08-2020,Paris
26384,Jon Zhu,Male,15-09-2020,Paris
26418,Rafael Chande,Male,07-07-2020,Paris
26926,Sergio Mehta,Male,03-12-2020,Paris
26935,Gabriel Butler,Male,19-08-2020,Paris
26972,Kristopher Sara,Male,27-03-2020,Paris
27134,Glenn Chen,Male,31-08-2020,Paris
27155,Eric Hall,Male,15-03-2020,Paris
27163,Wayne Luo,Male,03-05-2020,Paris
27182,Jarrod Srini,Male,24-06-2020,Paris
27303,Arturo Yang,Male,22-07-2020,Paris
27306,Tony Black,Male,16-08-2020,Paris
27318,James Bryant,Male,04-01-2021,Paris
27322,Derrick Bradley,Male,02-04-2020,Paris
27796,Jarrod Patel,Male,03-08-2020,Paris
27829,Jorge Wang,Male,03-12-2020,Paris
27844,Arturo Li,Male,18-06-2020,Paris
27846,Albert Rubio,Male,03-12-2020,Paris
27854,Marc Rubio,Male,02-12-2020,Paris
27881,Raul Nath,Male,16-12-2020,Paris
27887,Eugene Zhang,Male,05-05-2020,Paris
27951,Roy Torres,Male,14-12-2020,Paris
28373,Shane Lopez,Male,05-08-2020,Paris
28464,Eddie Hernandez,Male,13-12-2020,Paris
28476,Bradley Xie,Male,04-11-2020,Paris
28504,Reginald Gomez,Male,17-12-2018,Paris
28512,Dwayne Alonso,Male,21-02-2019,Paris
28532,Tony Xie,Male,01-02-2019,Paris
28569,Dustin Jai,Male,07-03-2019,Paris
28689,Kelvin Zhang,Male,19-04-2019,Paris
28724,Marvin Navarro,Male,23-04-2019,Paris
28750,Andy Romero,Male,20-06-2019,Paris
28751,Joe Belson,Male,17-06-2019,Paris
28757,Ronald Rodriguez,Male,16-06-2019,Paris
28881,Allen Kapoor,Male,13-06-2020,Paris
28886,Franklin Jai,Male,03-12-2020,Paris
29388,Calvin Kumar,Male,19-07-2019,Paris
29389,Thomas Phillips,Male,30-07-2019,Paris
29397,Walter Ramos,Male,08-08-2019,Paris
29426,Neil Gomez,Male,12-10-2020,Paris
29427,Wesley Chen,Male,17-05-2020,Paris
29451,Geoffrey Lopez,Male,08-02-2020,Paris
11254,Johnathan Vance,Male,23-11-2020,Burien
11255,Colin Lin,Male,23-02-2020,Burien
11282,Christian Thomas,Male,31-08-2018,Burien
11321,Terrance Raman,Male,23-02-2020,Burien
11633,Thomas Anderson,Male,13-11-2020,Burien
11725,Jose Li,Male,01-04-2020,Burien
11726,Micah Liang,Male,10-10-2020,Burien
11799,Jessie Wang,Male,10-10-2018,Burien
11934,Justin Shan,Male,19-11-2018,Burien
12092,Austin White,Male,02-05-2020,Burien
12436,Albert Diaz,Male,16-06-2020,Burien
12456,Thomas Chen,Male,16-01-2021,Burien
12906,Philip Ramos,Male,16-02-2020,Burien
12954,Pedro Diaz,Male,18-05-2020,Burien
12980,Max Moyer,Male,05-01-2019,Burien
13054,Bryce Ward,Male,12-12-2020,Burien
13153,Jack Hill,Male,12-02-2020,Burien
13653,Tony Chander,Male,13-05-2019,Burien
13880,Marshall Kumar,Male,07-07-2020,Burien
13897,Carol Washington,Male,23-10-2019,Burien
14476,Bryce Reed,Male,26-08-2020,Burien
14629,Blake Hernandez,Male,07-03-2020,Burien
14744,Elijah Yang,Male,31-08-2018,Burien
14905,Ricardo Shen,Male,19-09-2020,Burien
15248,Richard Harris,Male,09-11-2020,Burien
15298,Joe Chandra,Male,20-11-2020,Burien
15351,Steve Lu,Male,17-04-2019,Burien
15369,Connor Perez,Male,19-05-2019,Burien
15430,Alfredo Jiménez,Male,03-02-2020,Burien
15918,Roberto Ruiz,Male,02-11-2019,Burien
15967,Dakota Diaz,Male,15-05-2020,Burien
16221,Darren Saunders,Male,15-02-2020,Burien
16762,Franklin Ferrier,Male,22-09-2020,Burien
16835,Noah Nelson,Male,12-10-2020,Burien
16857,Lawrence Munoz,Male,04-05-2020,Burien
17144,Luis Griffin,Male,27-05-2020,Burien
17438,Marcus Hughes,Male,28-09-2020,Burien
17570,Carlos Sanchez,Male,26-02-2020,Burien
18408,Cody West,Male,06-11-2020,Burien
18499,Darren Rodriguez,Male,18-01-2021,Burien
18542,Dustin She,Male,08-07-2020,Burien
18605,David Wright,Male,03-11-2020,Burien
18810,Casey Dominguez,Male,09-11-2020,Burien
19125,Cameron Russell,Male,01-12-2020,Burien
19149,Sean Parker,Male,08-07-2020,Burien
19170,Luis Campbell,Male,16-01-2020,Burien
19413,Xavier Kelly,Male,28-01-2020,Burien
19668,Erick Patel,Male,18-12-2020,Burien
19678,Martin Rodriguez,Male,21-03-2020,Burien
19754,Francisco Rana,Male,21-10-2020,Burien
19834,Johnny Sharma,Male,15-06-2020,Burien
19996,Grant She,Male,17-09-2020,Burien
20071,Sean Campbell,Male,03-03-2020,Burien
20081,Jerry Xie,Male,15-10-2020,Burien
20108,Glenn Gao,Male,03-05-2020,Burien
20319,Dylan Alexander,Male,14-06-2020,Burien
20361,Jonathon Moreno,Male,14-02-2020,Burien
20378,Nathan Jai,Male,15-02-2020,Burien
20408,Isaac Morgan,Male,01-09-2020,Burien
21141,Omar Li,Male,28-09-2020,Burien
21280,Justin Walker,Male,10-12-2020,Burien
21289,Warren Wang,Male,12-11-2020,Burien
21321,Jon Jai,Male,15-03-2020,Burien
21602,Manuel Malhotra,Male,05-02-2020,Burien
21616,Carson Wood,Male,17-04-2020,Burien
21639,Anthony Wilson,Male,11-08-2020,Burien
21716,Gerald Sara,Male,09-09-2020,Burien
21778,Louis Shen,Male,18-10-2020,Burien
22016,Terrence Andersen,Male,25-12-2020,Burien
22045,Cameron Chen,Male,13-04-2020,Burien
22327,Jake Cai,Male,16-02-2020,Burien
22334,Juan Serrano,Male,23-02-2020,Burien
22342,Jon Lal,Male,01-10-2020,Burien
22360,Caleb Collins,Male,27-07-2020,Burien
22786,Wyatt Goldstein,Male,02-11-2020,Burien
22874,Drew Anand,Male,21-04-2020,Burien
23140,Tyler Lee,Male,16-02-2020,Burien
23191,Gilbert Raji,Male,15-07-2020,Burien
23263,Angel Lopez,Male,15-08-2020,Burien
23726,Darrell Xie,Male,25-10-2020,Burien
23792,Jessie Wu,Male,16-07-2020,Burien
23793,Ryan Kumar,Male,16-04-2020,Burien
24285,Jesse Cox,Male,05-07-2020,Burien
24311,Geoffrey Patel,Male,15-12-2020,Burien
24530,Franklin She,Male,01-05-2020,Burien
24645,Bryce Murphy,Male,26-06-2020,Burien
24734,Jack Turner,Male,17-03-2020,Burien
24762,Warren Xu,Male,15-08-2020,Burien
24943,Darrell Chander,Male,26-11-2020,Burien
25087,Wyatt Young,Male,22-01-2020,Burien
25356,Jonathan Miller,Male,18-04-2020,Burien
25405,Brandon Wagner,Male,16-06-2020,Burien
26110,James Alexander,Male,11-12-2018,Burien
26197,Marcus Lopez,Male,10-01-2021,Burien
26282,Leonard Jai,Male,19-12-2020,Burien
26550,Alex Morris,Male,03-08-2020,Burien
26729,Brian Gray,Male,03-07-2019,Burien
27261,Omar Chande,Male,18-11-2019,Burien
27291,Bobby Mehta,Male,28-10-2019,Burien
28171,Aidan Henderson,Male,27-03-2018,Burien
28274,William Rodriguez,Male,30-01-2020,Burien
28573,Tyrone Gill,Male,21-04-2018,Burien
28609,Jose Harris,Male,16-10-2020,Burien
28768,Emmanuel Rodriguez,Male,01-11-2020,Burien
28786,Erick Prasad,Male,27-05-2020,Burien
28792,Henry Stone,Male,06-05-2018,Burien
29134,Pedro Dominguez,Male,06-10-2020,Burien
29158,Ian Edwards,Male,10-07-2018,Burien
29171,Jay Alvarez,Male,13-09-2020,Burien
29175,Sean Rivera,Male,31-07-2018,Burien
29202,Jerry Kumar,Male,14-07-2018,Burien
29353,Orlando Gomez,Male,01-09-2020,Burien
11140,Javier Alvarez,Male,19-03-2020,Burbank
11155,Hunter Robinson,Male,06-01-2020,Burbank
11297,Noah Coleman,Male,26-09-2018,Burbank
11299,Orlando Vazquez,Male,26-09-2018,Burbank
11327,Jaime Moreno,Male,26-09-2018,Burbank
11692,Caleb Gonzales,Male,07-07-2020,Burbank
11787,Jerry Nath,Male,13-10-2020,Burbank
11793,Xavier Rogers,Male,04-02-2020,Burbank
12053,Cedric Gao,Male,29-10-2018,Burbank
12100,Jon Sun,Male,13-08-2020,Burbank
12440,Francisco Chandra,Male,29-11-2018,Burbank
12443,Garrett James,Male,18-01-2021,Burbank
12527,José Rodriguez,Male,17-12-2020,Burbank
13147,Cedric Lin,Male,06-06-2020,Burbank
13190,Jonathan Diaz,Male,10-01-2019,Burbank
13247,Zachary Chen,Male,13-02-2019,Burbank
13281,Brent Li,Male,10-01-2021,Burbank
13287,Brandon Rodriguez,Male,11-02-2019,Burbank
13325,Marcus Wright,Male,04-02-2019,Burbank
13492,Christian Foster,Male,29-05-2019,Burbank
13723,Leonard Raje,Male,01-11-2020,Burbank
13939,Eduardo Ramirez,Male,20-11-2019,Burbank
